Title,Body,Milestone,Labels,Assignee(role),Priority,Estimate(days),Phase,WorkPackage
[4.3] 권한 변경 이력 (permission_logs),"**Phase:** 4 · 권한 관리  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 3d  ·  **작업 수:** 3  ·  **일정:** W6–W8

### 작업 목록
- [ ] **4.3.1** 권한 변경 시 자동 로그 (트리거) `S` `P0` — permissions 변경 시 permission_logs 자동 기록 트리거. 참고: docs/02 §2(permission_logs)
- [ ] **4.3.2** 당사자별 권한 이력 조회 `S` `P0` — 당사자별 권한 변경 이력 조회. 참고: docs/05 §9 접근 로그
- [ ] **4.3.3** 사용자별 권한 변동 이력 `S` `P0` — 사용자별 권한 변동 이력 조회.

> 원본: docs/08-wbs-v1.1.md · 권한 변경 이력 (permission_logs)",Phase 4 · 권한 관리,"phase:4,priority:P0,type:backend,role:Dev-A",개발자 A,P0,3,4,권한 변경 이력 (permission_logs)
[4.4] RLS 권한 검증,"**Phase:** 4 · 권한 관리  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 4.5d  ·  **작업 수:** 3  ·  **일정:** W6–W8

### 작업 목록
- [ ] **4.4.1** 권한 외 접근 시도 감지 (트리거) `M` `P0` — 권한 외 리소스 접근 시도 감지 트리거(RLS 위반 로깅). 참고: docs/03 §RLS, docs/05 §11 시스템 보안 흐름
- [ ] **4.4.2** 이상 접근 알림 발송 `S` `P0` — 이상 접근 감지 시 보호자 알림 발송. 참고: docs/05 §8·§11
- [ ] **4.4.3** 권한 캐시 무효화 `S` `P1` — 권한 변경 시 Redis 권한 캐시 무효화(P1).

> 원본: docs/08-wbs-v1.1.md · RLS 권한 검증",Phase 4 · 권한 관리,"phase:4,priority:P0,type:backend,role:Dev-A",개발자 A,P0,4.5,4,RLS 권한 검증
[5.0] 기록 공통 CRUD,"**Phase:** 5 · 기록 (Records)  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 18d  ·  **작업 수:** 13  ·  **일정:** W7–W12

### 작업 목록
- [ ] **5.0.1** 기록 생성 API (도메인 무관) `M` `P0` — 도메인 무관 기록 생성 API — content(JSONB)는 record_type별 스키마 검증. 참고: docs/02 §3 JSONB content 스키마, docs/05 §4 기록 작성 공통, wireframes/web/06-record-form.svg
- [ ] **5.0.2** 기록 단건 조회 `S` `P0` — 기록 단건 조회(권한 검증). 참고: wireframes/web/05-record-detail.svg
- [ ] **5.0.3** 당사자별 기록 목록 (페이징·필터) `M` `P0` — 당사자별 전체 기록 목록(페이징·필터·정렬). 참고: docs/02 §5 인덱스 전략, wireframes/web/04-record-list.svg
- [ ] **5.0.4** 분야별 기록 목록 `S` `P0` — 도메인별 기록 목록. 참고: wireframes/web/18-guardian-records-domain.svg
- [ ] **5.0.5** 기록 수정 `S` `P0` — 기록 수정(작성자/권한자). 참고: wireframes/web/19-guardian-record-edit.svg
- [ ] **5.0.6** 기록 삭제 (보호자 권한) `S` `P0` — 기록 삭제(보호자 권한). 참고: docs/03 §RLS
- [ ] **5.0.7** 기록 임시저장 (is_draft) `S` `P0` — 기록 임시저장(is_draft) — 위자드 중간 저장. 참고: docs/05 §4 기록 작성 공통
- [ ] **5.0.8** 기록 이정표 표시 `XS` `P0` — 기록을 이정표(is_milestone)로 표시 → 타임라인 강조. 참고: docs/05 §6 타임라인
- [ ] **5.0.9** 기록 고정/해제 `XS` `P0` — 기록 고정/해제(상단 핀). 참고: docs/02 §2(records)
- [ ] **5.0.10** 기록 태그 추가/제거 `S` `P1` — 기록 태그 추가/제거(P1).
- [ ] **5.0.11** 기록 검색 (전문 검색) `M` `P1` — 전문 검색(content 텍스트, P1). 참고: docs/02 §5 인덱스 전략(GIN)
- [ ] **5.0.12** 기록 일괄 내보내기 (PDF/CSV) `M` `P1` — 기록 일괄 PDF/CSV 내보내기(P1). 참고: docs/05 §6 타임라인 PDF
- [ ] **5.0.13** 기록 작성자별 카운트 `S` `P2` — 작성자별 기록 통계 카운트(P2).

> 원본: docs/08-wbs-v1.1.md · 기록 공통 CRUD",Phase 5 · 기록 (Records),"phase:5,priority:P0,type:backend,role:Dev-B",개발자 B,P0,18,5,기록 공통 CRUD
[5.A] 의료 기록 (MED-001 ~ MED-010),"**Phase:** 5 · 기록 (Records)  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 13d  ·  **작업 수:** 10  ·  **일정:** W7–W12

### 작업 목록
- [ ] **5.A.1** MED-001 초기 진단 요약 (보호자) `S` `P0` — MED-001 초기 진단 요약(보호자 작성). content JSONB: 진단명·진단일·기관. 참고: docs/01-record-matrix.md §1 영유아기, docs/02 §3 JSONB(MED-001)
- [ ] **5.A.2** MED-002 발달 검사 결과 (보호자) `S` `P0` — MED-002 발달 검사 결과(보호자). 검사도구·점수·해석. 참고: docs/01 §1·§2, docs/02 §3 JSONB(MED-002)
- [ ] **5.A.3** MED-003 복약 기록 (보호자) `S` `P0` — MED-003 복약 기록(보호자). 약물·용량·주기·부작용. 참고: docs/02 §3 JSONB(MED-003)
- [ ] **5.A.4** MED-004 응급 대응 정보 (보호자 · 핀고정) `S` `P0` — MED-004 응급 대응 정보(보호자·핀고정·삭제불가). 발작·알레르기·대처. 참고: docs/02 §3 JSONB(MED-004), §17.2.5
- [ ] **5.A.5** MED-005 치료계획서 (치료사) `M` `P0` — MED-005 치료계획서(치료사). 목표·회기 계획·평가지표. 참고: docs/01 §2·§3, docs/02 §3 JSONB(MED-005), wireframes/web/59-therapist-plan.svg
- [ ] **5.A.6** MED-006 치료 회기 일지 (치료사) `S` `P0` — MED-006 치료 회기 일지(치료사). 회기 활동·반응·과제. 참고: docs/02 §3 JSONB(MED-006), wireframes/web/60-therapist-session-form.svg
- [ ] **5.A.7** MED-007 치료 평가 보고서 (치료사) `M` `P0` — MED-007 치료 평가 보고서(치료사). 기간 성과·재평가. 참고: docs/02 §3 JSONB(MED-007), wireframes/web/61-therapist-evaluation.svg
- [ ] **5.A.8** MED-008 정기 검진 요약 (보호자) `S` `P0` — MED-008 정기 검진 요약(보호자). 참고: docs/02 §3 JSONB(MED-008)
- [ ] **5.A.9** MED-009 치료 종결 평가 (치료사) `S` `P1` — MED-009 치료 종결 평가(치료사·삭제불가, P1). 참고: docs/02 §3 JSONB(MED-009)
- [ ] **5.A.10** MED-010 만성질환 관리 (보호자) `S` `P1` — MED-010 만성질환 관리(보호자, P1·중장년). 참고: docs/01 §6 중장년/노년기, docs/02 §3 JSONB(MED-010)

> 원본: docs/08-wbs-v1.1.md · 의료 기록 (MED-001 ~ MED-010)",Phase 5 · 기록 (Records),"phase:5,priority:P0,type:backend,role:Dev-B",개발자 B,P0,13,5,의료 기록 (MED-001 ~ MED-010)
[5.B] 교육 기록 (EDU-001 ~ EDU-009),"**Phase:** 5 · 기록 (Records)  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 16d  ·  **작업 수:** 9  ·  **일정:** W7–W12

### 작업 목록
- [ ] **5.B.1** EDU-001 IEP (특수교사) `L` `P0` — EDU-001 IEP 개별화교육계획(특수교사·최대 공수). 현행수준·연간/단기목표·평가. 참고: docs/01 §2 아동기, docs/02 §3 JSONB(EDU-001), wireframes/web/45-teacher-iep-form.svg
- [ ] **5.B.2** EDU-002 유아 특수교육 관찰 (교사) `S` `P1` — EDU-002 유아 특수교육 관찰(교사, P1·영유아). 참고: docs/01 §1, docs/02 §3 JSONB(EDU-002)
- [ ] **5.B.3** EDU-003 IEP 중간 점검 (교사) `M` `P0` — EDU-003 IEP 중간 점검(교사). 목표 달성도 평가. 참고: docs/02 §3 JSONB(EDU-003), wireframes/web/46-teacher-iep-review.svg
- [ ] **5.B.4** EDU-004 학교생활 관찰 (교사) `S` `P0` — EDU-004 학교생활 관찰(교사). 참고: docs/02 §3 JSONB(EDU-004), wireframes/web/47-teacher-observation.svg
- [ ] **5.B.5** EDU-005 통합교육 참여 (교사) `S` `P1` — EDU-005 통합교육 참여(교사, P1). 참고: docs/02 §3 JSONB(EDU-005)
- [ ] **5.B.6** EDU-006 학교 치료지원 (교사+치료사) `S` `P1` — EDU-006 학교 치료지원(교사+치료사, P1). 참고: docs/02 §3 JSONB(EDU-006)
- [ ] **5.B.7** EDU-007 전환교육 계획 (교사) `M` `P0` — EDU-007 전환교육 계획(교사·청소년). 진로·자립 준비. 참고: docs/01 §3 청소년기, docs/02 §3 JSONB(EDU-007), wireframes/web/48-teacher-transition.svg
- [ ] **5.B.8** EDU-008 직업교육 참여 (교사) `S` `P1` — EDU-008 직업교육 참여(교사, P1). 참고: docs/02 §3 JSONB(EDU-008)
- [ ] **5.B.9** EDU-009 졸업/수료 (교사) `S` `P0` — EDU-009 졸업/수료(교사·삭제불가). 참고: docs/02 §3 JSONB(EDU-009)

> 원본: docs/08-wbs-v1.1.md · 교육 기록 (EDU-001 ~ EDU-009)",Phase 5 · 기록 (Records),"phase:5,priority:P0,type:backend,role:Dev-B",개발자 B,P0,16,5,교육 기록 (EDU-001 ~ EDU-009)
[5.C] 복지 기록 (WEL-001 ~ WEL-007),"**Phase:** 5 · 기록 (Records)  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 15.5d  ·  **작업 수:** 7  ·  **일정:** W7–W12

### 작업 목록
- [ ] **5.C.1** WEL-001 장애 등록 (보호자) `S` `P0` — WEL-001 장애 등록(보호자·삭제불가). 장애유형·정도·등록일. **고유식별정보 분리:** `registration_number`(장애 등록번호)는 content 평문 금지 — 5.G.1 암호화 서비스로 secure_identifiers에 저장하고 content에는 `secure_identifier_id`(참조)·`value_masked`(표시용 마스킹)만 둠(unique_identifier 동의 전제, 2.12). 참고: docs/01 §1, docs/02 §3 JSONB(WEL-001), docs/16 §3.2
- [ ] **5.C.2** WEL-002 초기 복지 연계 (복지사) `S` `P0` — WEL-002 초기 복지 연계(복지사). 참고: docs/02 §3 JSONB(WEL-002)
- [ ] **5.C.3** WEL-003 활동지원 계획서 (복지사) `M` `P0` — WEL-003 활동지원 계획서(복지사). 참고: docs/02 §3 JSONB(WEL-003)
- [ ] **5.C.4** WEL-004 ISP (복지사) `L` `P0` — WEL-004 ISP 개별지원계획(복지사·최대 공수). 욕구·목표·서비스 매핑. 참고: docs/01 §5 성인기, docs/02 §3 JSONB(WEL-004), wireframes/web/53-worker-isp-form.svg
- [ ] **5.C.5** WEL-005 ISP 중간 점검 (복지사) `M` `P0` — WEL-005 ISP 중간 점검(복지사). 참고: docs/02 §3 JSONB(WEL-005), wireframes/web/52-worker-isp.svg
- [ ] **5.C.6** WEL-006 서비스 이용 현황 (복지사) `M` `P0` — WEL-006 서비스 이용 현황(복지사·매트릭스). 참고: docs/02 §3 JSONB(WEL-006), wireframes/web/55-worker-service-matrix.svg
- [ ] **5.C.7** WEL-007 노인복지 연계 (복지사) `S` `P2` — WEL-007 노인복지 연계(복지사, P2·노년). 참고: docs/01 §6, docs/02 §3 JSONB(WEL-007)

> 원본: docs/08-wbs-v1.1.md · 복지 기록 (WEL-001 ~ WEL-007)",Phase 5 · 기록 (Records),"phase:5,priority:P0,type:backend,role:Dev-B",개발자 B,P0,15.5,5,복지 기록 (WEL-001 ~ WEL-007)
[5.D] 일상/돌봄 기록 (DAI-001 ~ DAI-005),"**Phase:** 5 · 기록 (Records)  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 6.5d  ·  **작업 수:** 5  ·  **일정:** W7–W12

### 작업 목록
- [ ] **5.D.1** DAI-001 영유아 돌봄 (보호자) `S` `P1` — DAI-001 영유아 돌봄(보호자, P1). 참고: docs/01 §1, docs/02 §3 JSONB(DAI-001)
- [ ] **5.D.2** DAI-002 활동지원 일지 (지원사) `M` `P0` — DAI-002 활동지원 일지(활동지원사·핵심). 활동·식사·특이사항. 참고: docs/04 §3 활동지원사, docs/02 §3 JSONB(DAI-002), wireframes/web/38-supporter-journal-form.svg
- [ ] **5.D.3** DAI-003 행동 관찰 (지원사) `S` `P0` — DAI-003 행동 관찰(지원사). 참고: docs/02 §3 JSONB(DAI-003)
- [ ] **5.D.4** DAI-004 식이 기록 (지원사) `S` `P1` — DAI-004 식이 기록(지원사, P1). 참고: docs/02 §3 JSONB(DAI-004)
- [ ] **5.D.5** DAI-005 수면 기록 (지원사) `S` `P1` — DAI-005 수면 기록(지원사, P1). 참고: docs/02 §3 JSONB(DAI-005)

> 원본: docs/08-wbs-v1.1.md · 일상/돌봄 기록 (DAI-001 ~ DAI-005)",Phase 5 · 기록 (Records),"phase:5,priority:P0,type:backend,role:Dev-B",개발자 B,P0,6.5,5,일상/돌봄 기록 (DAI-001 ~ DAI-005)
[5.E] 전환/자립 기록 (TRA-001 ~ TRA-007),"**Phase:** 5 · 기록 (Records)  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 18.5d  ·  **작업 수:** 7  ·  **일정:** W7–W12

### 작업 목록
- [ ] **5.E.1** TRA-001 전환계획서 (복지사) `L` `P0` — TRA-001 전환계획서(복지사·성인전환기). 교육→자립 종합 계획. 참고: docs/01 §4 성인전환기, docs/02 §3 JSONB(TRA-001), wireframes/web/54-worker-transition.svg
- [ ] **5.E.2** TRA-002 직업 역량 평가 (복지사) `M` `P0` — TRA-002 직업 역량 평가(복지사). 참고: docs/02 §3 JSONB(TRA-002)
- [ ] **5.E.3** TRA-003 직업훈련/취업 (복지사) `M` `P0` — TRA-003 직업훈련/취업(복지사). 참고: docs/02 §3 JSONB(TRA-003)
- [ ] **5.E.4** TRA-004 자립생활 계획 (복지사) `M` `P1` — TRA-004 자립생활 계획(복지사, P1). 참고: docs/02 §3 JSONB(TRA-004)
- [ ] **5.E.5** TRA-005 자립생활 경과 (복지사) `S` `P1` — TRA-005 자립생활 경과(복지사, P1). 참고: docs/02 §3 JSONB(TRA-005)
- [ ] **5.E.6** TRA-006 의사결정 지원 (복지사+당사자) `M` `P1` — TRA-006 의사결정 지원(복지사+당사자, P1). 참고: docs/01 §5, docs/02 §3 JSONB(TRA-006)
- [ ] **5.E.7** TRA-007 돌봄 전환 계획 (복지사+보호자) `M` `P2` — TRA-007 돌봄 전환 계획(복지사+보호자, P2·노년 대비). 참고: docs/01 §6, docs/02 §3 JSONB(TRA-007)

> 원본: docs/08-wbs-v1.1.md · 전환/자립 기록 (TRA-001 ~ TRA-007)",Phase 5 · 기록 (Records),"phase:5,priority:P0,type:backend,role:Dev-B",개발자 B,P0,18.5,5,전환/자립 기록 (TRA-001 ~ TRA-007)
[5.F] 법적/행정 기록 (LEG-001 ~ LEG-005),"**Phase:** 5 · 기록 (Records)  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 8d  ·  **작업 수:** 5  ·  **일정:** W7–W12

### 작업 목록
- [ ] **5.F.1** LEG-001 장애인 증명서 (보호자) `S` `P0` — LEG-001 장애인 증명서(보호자). **고유식별정보 분리:** `document_number`(증명서 문서번호)는 content 평문 금지 — 5.G.1 암호화 서비스로 secure_identifiers에 저장하고 content에는 `secure_identifier_id`(참조)·`value_masked`만 둠(unique_identifier 동의 전제, 2.12). 참고: docs/02 §3 JSONB(LEG-001), docs/16 §3.2
- [ ] **5.F.2** LEG-002 수급 기록 (보호자) `S` `P0` — LEG-002 수급 기록(보호자). 참고: docs/02 §3 JSONB(LEG-002)
- [ ] **5.F.3** LEG-003 후견 문서 (보호자) `M` `P0` — LEG-003 후견 문서(보호자). 후견 유형·범위·기간. 참고: docs/01 §4·§5, docs/02 §3 JSONB(LEG-003)
- [ ] **5.F.4** LEG-004 의사결정 지원 계약 (보호자) `M` `P1` — LEG-004 의사결정 지원 계약(보호자, P1). 참고: docs/02 §3 JSONB(LEG-004)
- [ ] **5.F.5** LEG-005 노후 돌봄 문서 (보호자) `S` `P2` — LEG-005 노후 돌봄 문서(보호자, P2). 참고: docs/01 §6, docs/02 §3 JSONB(LEG-005)

> 원본: docs/08-wbs-v1.1.md · 법적/행정 기록 (LEG-001 ~ LEG-005)",Phase 5 · 기록 (Records),"phase:5,priority:P0,type:backend,role:Dev-B",개발자 B,P0,8,5,법적/행정 기록 (LEG-001 ~ LEG-005)
[5.G] 고유식별정보 암호화 서비스 (PIPA §24),"**Phase:** 5 · 기록 (Records)  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 2.5d  ·  **작업 수:** 1  ·  **일정:** W7–W12

### 작업 목록
- [ ] **5.G.1** ✨ NEW 고유식별정보 암호화/복호화 서비스 `M` `P0` — secure_identifiers 입출력 서비스 — 저장 시 평문을 암호화(encrypted_value BYTEA)·표시용 마스킹(value_masked) 생성, 조회 시 마스킹값만 반환, 원문 복호화는 service_role/Edge Function에서 권한 재검증 후에만(1.2.7 EXECUTE 제한과 연계). WEL-001(5.C.1)·LEG-001(5.F.1)이 호출. 암호화 도구·키관리(Vault vs pgcrypto+KMS)는 docs/16 §9 #2 확정 후 채움 🟡. 참고: docs/02 §2.14, docs/13 §3.5, docs/16 §3.2

> 원본: docs/08-wbs-v1.1.md · 고유식별정보 암호화 서비스 (PIPA §24)",Phase 5 · 기록 (Records),"phase:5,priority:P0,type:security,role:Dev-B",개발자 B,P0,2.5,5,고유식별정보 암호화 서비스 (PIPA §24)
[6] 자기표현 (Self-Expression),"**Phase:** 6 · 자기표현  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 9.5d  ·  **작업 수:** 8  ·  **일정:** W9–W10

### 작업 목록
- [ ] **6.1** 자기표현 입력 API (Flow-1 5스텝) `M` `P0` — 당사자 자기표현 입력 5스텝(기분·활동·사진·메모). 날짜별 1건. 참고: docs/06 §6 Flow-1 자기표현, docs/04 §2 당사자, docs/02 §3 JSONB(self_expression), wireframes/web/09-self-expression.svg
- [ ] **6.2** 자기표현 단건 조회 (날짜별 UNIQUE) `S` `P0` — 특정 날짜 자기표현 단건 조회(오늘 기록 홈). 참고: wireframes/web/08-person-home.svg
- [ ] **6.3** 자기표현 목록 (월·주 단위) `S` `P0` — 월·주 단위 자기표현 목록(캘린더/리스트). 참고: docs/02 §5 인덱스(date)
- [ ] **6.4** 자기표현 수정 (당일만) `S` `P0` — 자기표현 수정(작성 당일만 허용). 참고: docs/03 §RLS(self_expressions)
- [ ] **6.5** 자기표현 사진 업로드 `S` `P0` — 자기표현 사진 업로드(presigned URL). 참고: docs/05 §5 파일 첨부
- [ ] **6.6** 자기표현 음성 메모 업로드 `S` `P1` — 자기표현 음성 메모 업로드(P1). 참고: §16.6.3
- [ ] **6.7** 자기표현 보호자 요약 발송 `S` `P0` — 자기표현 작성 시 보호자 요약 알림 발송. 참고: docs/05 §8 알림, notifications.self_expression_id FK
- [ ] **6.8** 자기표현 통계 (연속 일수 등) `S` `P1` — 연속 입력 일수 등 자기표현 통계(P1).

> 원본: docs/08-wbs-v1.1.md · 자기표현 (Self-Expression)",Phase 6 · 자기표현,"phase:6,priority:P0,type:backend,role:Dev-B",개발자 B,P0,9.5,6,자기표현 (Self-Expression)
[7] 파일 첨부 (Record Files),"**Phase:** 7 · 파일 첨부  
**담당자:** 개발자 B (Dev-B)  
**우선순위:** P0  ·  **예상 공수:** 10.5d  ·  **작업 수:** 9  ·  **일정:** W9–W10

### 작업 목록
- [ ] **7.1** Presigned URL 발급 `S` `P0` — Presigned URL 발급(업로드용). 참고: docs/05 §5 파일 첨부 프로세스, bkit:bkend-storage 스킬
- [ ] **7.2** 파일 메타데이터 등록 `S` `P0` — 업로드 완료 후 record_files 메타데이터 등록. 참고: docs/02 §2(record_files)
- [ ] **7.3** 파일 단건 조회 (다운로드 URL) `S` `P0` — 파일 단건 조회 + 다운로드 URL(CDN/presigned). 참고: bkit:bkend-storage 스킬
- [ ] **7.4** 기록별 파일 목록 `XS` `P0` — 특정 기록의 첨부 파일 목록.
- [ ] **7.5** 자기표현별 파일 목록 `XS` `P0` — 특정 자기표현의 첨부 파일 목록.
- [ ] **7.6** 파일 메타 수정 (제목/민감도) `XS` `P0` — 파일 메타 수정(제목·민감 여부 is_sensitive BOOLEAN). 참고: docs/02 §2(record_files)
- [ ] **7.7** 파일 삭제 (storage + meta) `S` `P0` — 파일 삭제(스토리지 객체 + 메타 동시).
- [ ] **7.8** 민감 파일 추가 인증 (응급 정보) `M` `P0` — 민감 파일(응급정보 등) 다운로드 시 추가 인증 미들웨어. 참고: docs/05 §11 보안 흐름, §17.2.5
- [ ] **7.9** 파일 바이러스 스캔 (옵션) `M` `P2` — 업로드 파일 바이러스 스캔 edge function(P2).

> 원본: docs/08-wbs-v1.1.md · 파일 첨부 (Record Files)",Phase 7 · 파일 첨부,"phase:7,priority:P0,type:backend,role:Dev-B",개발자 B,P0,10.5,7,파일 첨부 (Record Files)
[8.1] 이정표 CRUD,"**Phase:** 8 · 이정표·타임라인  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 4d  ·  **작업 수:** 6  ·  **일정:** W10–W12

### 작업 목록
- [ ] **8.1.1** 이정표 추가 `S` `P0` — 이정표 추가(진단·입학·졸업·취업 등). category·event_date. 참고: docs/02 §2(life_milestones), docs/01-record-matrix.md
- [ ] **8.1.2** 이정표 단건 조회 `XS` `P0` — 이정표 단건 조회.
- [ ] **8.1.3** 당사자별 이정표 목록 `S` `P0` — 당사자별 이정표 목록.
- [ ] **8.1.4** 이정표 수정 `XS` `P0` — 이정표 수정.
- [ ] **8.1.5** 이정표 삭제 `XS` `P0` — 이정표 삭제.
- [ ] **8.1.6** 카테고리별 이정표 필터 `XS` `P0` — 카테고리별 이정표 필터.

> 원본: docs/08-wbs-v1.1.md · 이정표 CRUD",Phase 8 · 이정표·타임라인,"phase:8,priority:P0,type:backend,role:Dev-A",개발자 A,P0,4,8,이정표 CRUD
[8.2] 타임라인 (records + milestones + self_expressions 통합),"**Phase:** 8 · 이정표·타임라인  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 9.5d  ·  **작업 수:** 8  ·  **일정:** W10–W12

### 작업 목록
- [ ] **8.2.1** 통합 타임라인 조회 (시간 역순) `M` `P0` — records+milestones+self_expressions 통합 타임라인(시간 역순). 참고: docs/05 §6 생애주기 타임라인 조회, wireframes/web/03-timeline.svg
- [ ] **8.2.2** 분야별 필터 `S` `P0` — 타임라인 도메인 필터. 참고: docs/07 §1 도메인 컬러
- [ ] **8.2.3** 생애주기별 필터 `S` `P0` — 생애주기(life_stage)별 필터. 참고: docs/02 §4 Enum(life_stage)
- [ ] **8.2.4** 날짜 범위 필터 `XS` `P0` — 날짜 범위 필터.
- [ ] **8.2.5** 이정표만 보기 `XS` `P0` — 이정표만 필터링.
- [ ] **8.2.6** 작성자별 필터 `XS` `P1` — 작성자별 필터(P1).
- [ ] **8.2.7** 타임라인 PDF 내보내기 `M` `P1` — 타임라인 PDF 내보내기(P1). 참고: docs/05 §6
- [ ] **8.2.8** 생애주기 자동 마커 (트리거) `S` `P0` — 생애주기 전환 시 자동 마커 삽입 트리거. 참고: docs/05 §10 당사자 전환기 처리

> 원본: docs/08-wbs-v1.1.md · 타임라인 (records + milestones + self_expressions 통합)",Phase 8 · 이정표·타임라인,"phase:8,priority:P0,type:backend,role:Dev-A",개발자 A,P0,9.5,8,타임라인 (records + milestones + self_expressions 통합)
[9.1] 인수인계 CRUD,"**Phase:** 9 · 인수인계  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 7d  ·  **작업 수:** 6  ·  **일정:** W11–W13

### 작업 목록
- [ ] **9.1.1** 인수인계 생성 (Flow-6 4스텝) `M` `P0` — 인수인계 생성 4스텝(분야·기간·요약·연계 기록). 참고: docs/06 §6 Flow-6 인수인계, docs/05 §7 인수인계, docs/02 §2(handovers), wireframes/web/56-worker-handover-create.svg
- [ ] **9.1.2** 인수인계 단건 조회 `S` `P0` — 인수인계 상세 조회(연계 기록 포함). 참고: wireframes/web/40-supporter-handover-detail.svg
- [ ] **9.1.3** 받은 인계 목록 `S` `P0` — 받은 인계 목록. 참고: wireframes/web/39-supporter-handover-list.svg
- [ ] **9.1.4** 전달한 인계 목록 `S` `P0` — 전달한 인계 목록.
- [ ] **9.1.5** 인계 수정 (미확인 상태에서만) `S` `P0` — 인계 수정(미확인 상태에서만). 참고: docs/03 §RLS
- [ ] **9.1.6** 인계 삭제 (취소) `XS` `P1` — 인계 삭제/취소(P1).

> 원본: docs/08-wbs-v1.1.md · 인수인계 CRUD",Phase 9 · 인수인계,"phase:9,priority:P0,type:backend,role:Dev-A",개발자 A,P0,7,9,인수인계 CRUD
[9.2] 인계 플로우,"**Phase:** 9 · 인수인계  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 9d  ·  **작업 수:** 6  ·  **일정:** W11–W13

### 작업 목록
- [ ] **9.2.1** Step1 — 기본 설정 (분야·기간·후임자) `S` `P0` — Step1 — 분야·인계 기간·후임자 지정. 참고: docs/06 §6 Flow-6, wireframes/web/56-worker-handover-create.svg
- [ ] **9.2.2** Step2 — 핵심 요약·특이사항 태그 `S` `P0` — Step2 — 핵심 요약·특이사항 태그 작성.
- [ ] **9.2.3** Step3 — 중요 기록 다중 선택 `M` `P0` — Step3 — 중요 기록 다중 선택(linked_record_ids).
- [ ] **9.2.4** Step4 — 미리보기·발송·알림 `S` `P0` — Step4 — 미리보기·발송 + 후임자 알림. 참고: docs/05 §8 알림
- [ ] **9.2.5** 인계 확인 처리 (is_confirmed) `S` `P0` — 후임자 인계 확인 처리(is_confirmed). 참고: docs/04 §3 활동지원사
- [ ] **9.2.6** 인계 확인 시 권한 자동 이양 (옵션) `M` `P1` — 인계 확인 시 권한 자동 이양 트리거(옵션, P1). 참고: docs/05 §7·§2

> 원본: docs/08-wbs-v1.1.md · 인계 플로우",Phase 9 · 인수인계,"phase:9,priority:P0,type:backend,role:Dev-A",개발자 A,P0,9,9,인계 플로우
[10.1] 알림 인프라,"**Phase:** 10 · 알림  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 5.5d  ·  **작업 수:** 6  ·  **일정:** W11–W13

### 작업 목록
- [ ] **10.1.1** 알림 생성 (이벤트별 자동) `M` `P0` — 이벤트별 알림 자동 생성 트리거(기록 작성·권한 변경·인계 등). 참고: docs/05 §8 알림 발송/수신, docs/02 §3 JSONB(notification payload)
- [ ] **10.1.2** 알림 단건 조회 `XS` `P0` — 알림 단건 조회.
- [ ] **10.1.3** 사용자별 알림 목록 (페이징) `S` `P0` — 사용자별 알림 목록(페이징). 참고: wireframes/web/23-guardian-notifications.svg
- [ ] **10.1.4** 알림 읽음 처리 `XS` `P0` — 알림 읽음 처리.
- [ ] **10.1.5** 알림 일괄 읽음 처리 `XS` `P0` — 알림 일괄 읽음 처리.
- [ ] **10.1.6** 알림 삭제 `XS` `P1` — 알림 삭제(P1).

> 원본: docs/08-wbs-v1.1.md · 알림 인프라",Phase 10 · 알림,"phase:10,priority:P0,type:backend,role:Dev-A",개발자 A,P0,5.5,10,알림 인프라
